City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,2pc Heart-Shaped Strawberry Biscuits,1,"",,"",4.29,27.65,USD
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,Large Cajun Fries,1,"",,"",8.69,27.65,USD
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,New! 12Pc Wings,1,"Sweet Heat, 6P Ghost Pepper Wings, Blackened Ranch, New! 12Pc Wings, A La Carte, 6Pc Sweet 'N Spicy Wings",0.0,"",17.29,27.65,USD
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,Blackened ranch sauce,2,"",,"",0.5,27.65,USD
Portland,Wingzilla - Powell Blvd,2024-02-18T16:34:52.000Z,2024-02-18T16:36:07.000Z,canceled,12 Wings,1,Original Bone-in,5.0,"",13.99,0.0,USD
Portland,Wingzilla - Powell Blvd,2024-02-18T16:34:52.000Z,2024-02-18T16:36:07.000Z,canceled,Extra Sauces & Dips,1,Honey Sriracha,0.0,"",0.99,0.0,USD
Portland,Wingzilla - Powell Blvd,2024-02-18T16:34:52.000Z,2024-02-18T16:36:07.000Z,canceled,French Fries,1,Ketchup,0.0,"",3.99,0.0,USD
Portland,Wingzilla - Powell Blvd,2024-02-18T16:34:52.000Z,2024-02-18T16:36:07.000Z,canceled,12 Wings,1,"Lemon Pepper Wet (Lemon pepper and buffalo), Pineapple Habanero",0.0,"",13.99,0.0,USD
Portland,Wingzilla - Powell Blvd,2024-02-18T16:34:52.000Z,2024-02-18T16:36:07.000Z,canceled,French Fries,1,"Ranch, Honey Mustard",0.99,"",3.99,0.0,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-18T16:34:51.000Z,2024-02-18T16:46:49.000Z,canceled,Chips & Guacamole,1,Regular,0.0,"",5.85,0.0,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Blazin' Hot Pepper Crispy Chicken Sandwich,1,Add Face Rock White Cheddar,1.2,"",8.49,29.27,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Truffle Parmesan Waffley Fries - Large,1,"No Parmesan, Ketchup",,"",5.49,29.27,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Truffle Parmesan Waffley Fries - Large,1,No Parmesan,0.0,"",5.49,29.27,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Truffle Parmesan Waffley Fries - Large,1,Sweet & Spicy,0.2,"",5.49,29.27,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Blazin' Hot Pepper Crispy Chicken Sandwich,1,"Add Toppings, Customize It, Add Tillamook Cheddar, Add Cheese, Add Mama Lil's Peppers (Limited Time Only), Add Face Rock White Cheddar, Add Chipotle Mayo, Add Grilled Red Onion, Add Pickles, Add Sauce",,"",8.49,29.27,USD
